"Reporting_Month","baskett","mnsty_item","smeb_item","price","unit","quantity","ministry_smeb_price_lbp","price_lbp_l_kg"
2026-03-30,"Food MEB","Banana","Bananas",96517.1428571429,"kg",1,868654.285714286,96517.1428571429
2026-03-30,"Food SMEB","Cabbage","Cabbage",52291,"kg",1,705928.5,52291
2026-03-30,"Food SMEB","Carrots","Carrots",127187.375,"kg",1,381562.125,127187.375
2026-03-30,"Food SMEB","Chickpeas","Chickpeas packed",177606,"kg",1,799227,177606
2026-03-30,"Food MEB","Cucumber","Cucumber",130068.777777778,"kg",1,780412.666666668,130068.777777778
2026-03-30,"Food SMEB","Eggs","Eggs",454928.5,"pieces",30,568660.625,254759.96
2026-03-30,"Food SMEB","Powdered Milk","Milk powder can",1714615.5,"kg",2.5,2057538.6,685846.2
2026-03-30,"Food MEB","Oranges","Naval oranges",150833.333333333,"kg",1,1357500,150833.333333333
2026-03-30,"Food MEB","Parsley","Parsley",38274.7961111111,"bundle",1,3444731.65,765495.922222222
2026-03-30,"Food SMEB","Rice","Plain rice",109690.285714286,"kg",1,1316283.42857143,109690.285714286
2026-03-30,"Food SMEB","Potatoes","Potato",75562.375,"kg",1,793404.9375,75562.375
2026-03-30,"Food SMEB","Apples","Red apples",235902.111111111,"kg",1,1769265.83333333,235902.111111111
2026-03-30,"Food SMEB","Lentils","Red lentils",143161.2,"kg",1,536854.5,143161.2
2026-03-30,"Food MEB","Onion","Red onion",96527.1111111111,"kg",1,289581.333333333,96527.1111111111
2026-03-30,"Food SMEB","Salt","Salt",74579.1428571429,"g",700,63914.3254285715,106648.174285714
2026-03-30,"Food SMEB","Sardine","Sardines can",117656.5,"g",125,2117817,941252
2026-03-30,"Food SMEB","Tomato Paste","Small tomato paste",54973.2857142857,"g",70,2356155.02571429,785568.252857143
2026-03-30,"Food SMEB","Sugar","Sugar",86672.625,"kg",1,260017.875,86672.625
2026-03-30,"Food SMEB","Sunflower Oil","Sunflower Oil",895206,"L",3.5,651709.968,256028.916
2026-03-30,"Food MEB","Tahini","Tahina container",312540.428571429,"g",454,515691.707142858,688526.564142858
2026-03-30,"Food SMEB","Tea","Tea (unflavored) packed",521829.75,"g",454,688815.27,1149590.93925
2026-03-30,"Food MEB","Tomato","Tomato",158749.875,"kg",1,1190624.0625,158749.875
2026-03-30,"Food SMEB","White Beans","White beans",188594.25,"kg",1,282891.375,188594.25
2026-03-30,"Food MEB","Fresh Chicken","Whole chicken",339514.5,"kg",1,1273179.375,339514.5
2026-03-30,"Food MEB","Zucchini","Zucchini",145242.388888889,"kg",1,653590.75,145242.388888889
2026-03-23,"Food MEB","Banana","Bananas",80668.9285714286,"kg",1,726020.357142857,80668.9285714286
2026-03-23,"Food SMEB","Cabbage","Cabbage",54367.3888888889,"kg",1,733959.75,54367.3888888889
2026-03-23,"Food SMEB","Carrots","Carrots",128749.875,"kg",1,386249.625,128749.875
2026-03-23,"Food SMEB","Chickpeas","Chickpeas packed",178951.5,"kg",1,805281.75,178951.5
2026-03-23,"Food MEB","Cucumber","Cucumber",120874.875,"kg",1,725249.25,120874.875
2026-03-23,"Food SMEB","Eggs","Eggs",433507.285714286,"pieces",30,541884.107142858,242764.08
2026-03-23,"Food SMEB","Powdered Milk","Milk powder can",1714615.5,"kg",2.5,2057538.6,685846.2
2026-03-23,"Food MEB","Oranges","Naval oranges",150445.714285714,"kg",1,1354011.42857143,150445.714285714
2026-03-23,"Food MEB","Parsley","Parsley",39999.3333333333,"bundle",1,3599940,799986.666666666
2026-03-23,"Food SMEB","Rice","Plain rice",111527,"kg",1,1338324,111527
2026-03-23,"Food SMEB","Potatoes","Potato",76874.875,"kg",1,807186.1875,76874.875
2026-03-23,"Food SMEB","Apples","Red apples",234929.888888889,"kg",1,1761974.16666667,234929.888888889
2026-03-23,"Food SMEB","Lentils","Red lentils",152041.5,"kg",1,570155.625,152041.5
2026-03-23,"Food MEB","Onion","Red onion",99478.5,"kg",1,298435.5,99478.5
2026-03-23,"Food SMEB","Salt","Salt",74322.8571428571,"g",700,63694.6885714285,106281.685714286
2026-03-23,"Food SMEB","Sardine","Sardines can",117656.5,"g",125,2117817,941252
2026-03-23,"Food SMEB","Tomato Paste","Small tomato paste",54973.2857142857,"g",70,2356155.02571429,785568.252857143
2026-03-23,"Food SMEB","Sugar","Sugar",86672.625,"kg",1,260017.875,86672.625
2026-03-23,"Food SMEB","Sunflower Oil","Sunflower Oil",886620.428571429,"L",3.5,645459.672,253573.442571429
2026-03-23,"Food MEB","Tahini","Tahina container",312540.428571429,"g",454,515691.707142858,688526.564142858
2026-03-23,"Food SMEB","Tea","Tea (unflavored) packed",520035.75,"g",454,686447.19,1145638.75725
2026-03-23,"Food MEB","Tomato","Tomato",207360.444444444,"kg",1,1555203.33333333,207360.444444444
2026-03-23,"Food SMEB","White Beans","White beans",197639,"kg",1,296458.5,197639
2026-03-23,"Food MEB","Fresh Chicken","Whole chicken",355212,"kg",1,1332045,355212
2026-03-23,"Food MEB","Zucchini","Zucchini",152950.722222222,"kg",1,688278.249999999,152950.722222222
2026-03-16,"Food MEB","Banana","Bananas",82231.4285714286,"kg",1,740082.857142857,82231.4285714286
2026-03-16,"Food SMEB","Cabbage","Cabbage",55311.8333333333,"kg",1,746709.75,55311.8333333333
2026-03-16,"Food SMEB","Carrots","Carrots",124235.444444444,"kg",1,372706.333333332,124235.444444444
2026-03-16,"Food SMEB","Chickpeas","Chickpeas packed",174915,"kg",1,787117.5,174915
2026-03-16,"Food MEB","Cucumber","Cucumber",134721.555555556,"kg",1,808329.333333336,134721.555555556
2026-03-16,"Food SMEB","Eggs","Eggs",433507.285714286,"pieces",30,541884.107142858,242764.08
2026-03-16,"Food SMEB","Powdered Milk","Milk powder can",1714615.5,"kg",2.5,2057538.6,685846.2
2026-03-16,"Food MEB","Oranges","Naval oranges",146472.5,"kg",1,1318252.5,146472.5
2026-03-16,"Food MEB","Parsley","Parsley",39561.8333333333,"bundle",1,3560565,791236.666666666
2026-03-16,"Food SMEB","Rice","Plain rice",108408.857142857,"kg",1,1300906.28571428,108408.857142857
2026-03-16,"Food SMEB","Potatoes","Potato",74999.875,"kg",1,787498.6875,74999.875
2026-03-16,"Food SMEB","Apples","Red apples",245034.055555556,"kg",1,1837755.41666667,245034.055555556
2026-03-16,"Food SMEB","Lentils","Red lentils",143161.2,"kg",1,536854.5,143161.2
2026-03-16,"Food MEB","Onion","Red onion",90916,"kg",1,272748,90916
2026-03-16,"Food SMEB","Salt","Salt",70414.5,"g",700,60345.2265,100692.735
2026-03-16,"Food SMEB","Sardine","Sardines can",117656.5,"g",125,2117817,941252
2026-03-16,"Food SMEB","Tomato Paste","Small tomato paste",53563.7142857143,"g",70,2295740.79428571,765425.477142857
2026-03-16,"Food SMEB","Sugar","Sugar",94801.6875,"kg",1,284405.0625,94801.6875
